calc_score,humidity,cloud_cover,visibility,user_score,lat,long,date_time,image_url
2.856,68.29,15.2,10.0,,48.704294,8.865323,2015-05-16 20:31:40,https://live.staticflickr.com/8833/17154556714_a26c3e3ae4_b.jpg
1.162,85.53,4.0,20.8,,51.736463,-4.573595,2008-02-09 18:03:54,https://live.staticflickr.com/2035/2276583285_cbd1d5412e_b.jpg
5.518,42.83,50.0,9.0,,11.770570,105.062255,2015-01-23 13:10:05,https://live.staticflickr.com/8684/16727557428_c5aab6a2d6_b.jpg
1.518,87.85,15.8,27.1,,55.130832,-1.870679,2012-06-28 21:52:48,https://live.staticflickr.com/7126/7463600784_9d8da9112d_b.jpg
3.738,87.85,15.8,27.1,,35.267730,-120.666687,2012-10-01 23:49:54,https://live.staticflickr.com/8318/8046162688_f5d09f675c_b.jpg
2.703,93.35,70.1,10.0,,56.500052,20.992212,2015-05-18 21:36:48,https://live.staticflickr.com/1497/25888440723_f1bc769cf4_b.jpg
4.867,47.92,0.0,33.8,,59.306333,11.114516,2014-09-26 18:59:59,https://live.staticflickr.com/7468/16152456267_73580aab58_b.jpg
5.21,47.92,0.0,33.8,,39.530550,-105.076155,2010-09-15 23:08:18,https://live.staticflickr.com/4151/4995256822_69e6c72b65_b.jpg
5.964,65.47,0.0,16.0,,47.656690,-122.420949,2007-12-08 19:25:35,https://live.staticflickr.com/6127/5941945922_0faee4359a_b.jpg
5.74,34.51,0.0,16.0,,39.677400,-123.791391,2012-01-01 16:27:45,https://live.staticflickr.com/7164/6657578261_aab7afea73_b.jpg
5.63,69.71,89.0,10.0,,59.033406,5.576376,2015-01-02 14:22:11,https://live.staticflickr.com/8653/16006632628_ef5c035b4e_b.jpg
2.904,61.24,15.7,10.6,,40.787251,14.078121,2008-03-30 16:21:59,https://live.staticflickr.com/2004/2525240000_5af89d86da_b.jpg
2.999,59.76,50.0,10.5,,28.454104,-17.842454,2011-03-12 19:12:16,https://live.staticflickr.com/5055/5523361254_1b4cca7fc6_b.jpg
6.759,67.35,3.7,32.9,,55.580461,13.251897,2009-07-28 20:51:02,https://live.staticflickr.com/2538/3791804854_f5d2bdba44_b.jpg
3.259,86.5,77.8,14.6,,50.917590,-1.006509,2006-01-02 11:06:28,https://live.staticflickr.com/3211/3060106898_af2ed292bf_b.jpg
3.732,54.59,40.4,16.0,,36.059166,-86.797221,2016-02-11 17:41:32,https://live.staticflickr.com/1468/24913764112_5c250f59d7_b.jpg
5.852,32.41,0.0,16.0,,40.088582,-105.207352,2016-12-04 17:48:12,https://live.staticflickr.com/5742/31064915280_35705fbc9d_b.jpg
0.326,75.5,18.2,22.7,,50.700507,-3.202772,2021-09-19 18:44:08,https://live.staticflickr.com/65535/51504717605_9138e9281d_b.jpg
3.756,90.3,4.6,13.2,,38.355859,-123.066959,2011-01-02 05:26:03,https://live.staticflickr.com/5082/5321561498_4e343185e6_b.jpg
5.358,58.13,4.4,41.0,,48.898580,2.334594,2015-08-29 19:40:54,https://live.staticflickr.com/1566/24210167403_0a45dccbe3_b.jpg
3.738,68.26,27.5,32.0,,50.522343,-126.531472,2015-07-03 06:36:55,https://live.staticflickr.com/5779/21049942441_9384e73048_b.jpg
4.38,77.74,55.1,15.5,,51.457616,20.446715,2020-11-05 15:44:30,https://live.staticflickr.com/65535/50649918477_3321c55aa5_b.jpg
3.381,69.37,90.0,24.0,,20.731866,-105.313038,2013-04-09 17:31:29,https://live.staticflickr.com/8420/8701311212_53c0c2f83e_b.jpg
2.801,87.16,16.5,12.9,,51.491324,-0.873413,2008-12-07 16:30:58,https://live.staticflickr.com/4107/5413518818_387f34bdc8_b.jpg
